Date,Price,Open,High,Low,Vol.,Change %
01/07/2026,"37,692.09","37,066.84","37,692.09","36,751.90",,2.20%
01/06/2026,"36,880.75","35,911.81","37,294.64","35,405.87",,1.71%
01/05/2026,"36,261.80","36,502.09","37,115.08","35,654.54",,-0.01%
01/04/2026,"36,266.61","33,463.88","36,833.40","33,463.88",,10.52%
01/03/2026,"32,813.14","36,491.59","36,491.59","32,813.14",,-11.36%
01/02/2026,"37,020.38","36,106.27","37,995.17","36,106.27",,0.45%
01/01/2026,"36,853.92","38,161.77","38,464.10","36,255.23",,-3.27%
01/12/2025,"38,101.06","38,182.16","38,182.16","37,362.36",,-0.26%
01/11/2025,"38,199.35","37,983.99","38,264.88","37,510.82",,1.00%
01/10/2025,"37,822.45","36,549.80","38,208.18","36,549.80",,4.34%
01/09/2025,"36,248.22","36,198.88","37,490.10","36,198.88",,1.25%
01/08/2025,"35,799.38","36,086.49","36,875.67","35,729.39",,-1.82%
01/07/2025,"36,461.71","37,519.71","37,519.71","36,349.32",,-2.83%
01/06/2025,"37,522.38","36,211.90","37,526.73","36,024.39",,3.77%
01/05/2025,"36,160.26","34,848.28","36,294.53","34,326.37",,3.65%
01/04/2025,"34,886.08","33,361.96","35,210.27","31,834.33",,3.25%
01/03/2025,"33,787.56","31,498.76","34,100.12","31,498.76",,7.35%
01/02/2025,"31,473.37","34,132.24","34,453.97","31,473.37",,-7.79%
01/01/2025,"34,130.93","35,526.08","36,060.05","33,062.34",,-3.47%
01/12/2024,"35,357.90","36,082.61","36,909.23","35,266.62",,-1.37%
01/11/2024,"35,847.40","36,042.89","36,377.55","34,476.59",,0.05%
01/10/2024,"35,830.98","37,488.51","37,488.51","35,510.88",,-6.35%
01/09/2024,"38,261.39","37,491.24","38,658.58","37,045.67",,2.17%
01/08/2024,"37,449.92","37,029.53","37,449.92","35,364.14",,1.04%
01/07/2024,"37,066.08","35,771.61","37,066.08","35,693.16",,4.39%
01/06/2024,"35,506.97","31,956.22","35,506.97","31,956.22",,7.05%
01/05/2024,"33,168.20","33,063.00","33,759.03","31,908.53",,0.73%
01/04/2024,"32,927.38","32,256.66","32,927.38","31,872.54",,4.53%
01/03/2024,"31,499.32","31,906.58","32,040.62","30,749.48",,0.00%
01/02/2024,"31,499.31","30,972.56","31,849.62","30,831.81",,1.57%
01/01/2024,"31,011.17","30,400.92","31,132.31","30,320.70",,1.95%
01/12/2023,"30,417.80","28,360.55","30,417.80","28,360.55",,8.01%
01/11/2023,"28,161.16","26,176.34","28,161.16","26,176.34",,7.15%
01/10/2023,"26,281.76","26,972.02","27,305.47","25,896.34",,-2.77%
01/09/2023,"27,031.74","26,687.23","27,612.99","26,687.23",,2.19%
01/08/2023,"26,451.77","26,600.66","26,600.66","26,176.98",,-0.60%
01/07/2023,"26,612.52","25,758.55","26,612.52","25,758.55",,3.93%
01/06/2023,"25,605.81","24,528.90","25,605.81","24,528.90",,4.35%
01/05/2023,"24,538.09","23,770.12","24,580.88","23,732.29",,3.78%
01/04/2023,"23,643.94","22,678.03","23,643.94","22,678.03",,4.58%
01/03/2023,"22,609.54","22,773.28","23,172.99","22,071.73",,0.28%
01/02/2023,"22,546.35","23,038.80","23,420.94","22,546.35",,-2.71%
01/01/2023,"23,175.05","24,083.14","24,136.79","23,048.29",,-3.30%
01/12/2022,"23,967.12","24,828.21","24,828.21","23,342.13",,-3.12%
01/11/2022,"24,738.49","24,098.84","24,738.49","23,950.94",,3.42%
01/10/2022,"23,919.76","22,683.76","23,919.76","22,683.76",,4.09%
01/09/2022,"22,979.45","23,564.70","24,276.42","22,627.96",,-3.21%
01/08/2022,"23,740.37","22,960.55","23,858.77","22,960.55",,4.68%
01/07/2022,"22,678.29","20,678.08","22,678.29","20,678.08",,9.73%
01/06/2022,"20,667.27","21,709.49","21,841.16","19,985.84",,-5.05%
01/05/2022,"21,765.82","22,653.68","22,653.68","20,714.03",,-4.23%
